id,surah,ayah,theme,arabic,transliteration,translation,caption_topic
1,Al-Kahf,18:10,Guidance,إِذْ أَوَى الْفِتْيَةُ إِلَى الْكَهْفِ فَقَالُوا رَبَّنَا آتِنَا مِن لَّدُنكَ رَحْمَةً وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًا,Idh awa al-fityatu ila al-kahfi faqaloo rabbana atina min ladunka rahmatan wa hayyi lana min amrina rashada,"Our Lord, grant us from Yourself mercy and prepare for us from our affair right guidance.",seek mercy and right guidance
2,Al-Baqarah,2:286,Forgiveness,رَبَّنَا لَا تُؤَاخِذْنَا إِن نَّسِينَا أَوْ أَخْطَأْنَا,Rabbana la tuakhidhna in nasina aw akhtana,"Our Lord, do not impose blame upon us if we forget or make a mistake.",forgive our forgetfulness and mistakes
3,Ali-Imran,3:8,Steadfastness,رَبَّنَا لَا تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا وَهَبْ لَنَا مِن لَّدُنكَ رَحْمَةً,Rabbana la tuzigh quloobana bada idh hadaytana wa hab lana min ladunka rahmah,"Our Lord, do not let our hearts deviate after You have guided us.",keep our hearts on your guidance
4,Taha,20:114,Knowledge,رَّبِّ زِدْنِي عِلْمًا,Rabbi zidni ilma,"My Lord, increase me in knowledge.",increase me in knowledge
5,Al-Furqan,25:74,Family,رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ,Rabbana hab lana min azwajina wa dhurriyyatina qurrata ayun,"Our Lord, grant us from among our spouses and offspring comfort to our eyes.",grant us comfort in our families
6,Al-Araf,7:23,Repentance,رَبَّنَا ظَلَمْنَا أَنفُسَنَا,Rabbana zalamna anfusana,"Our Lord, we have wronged ourselves.",we have wronged ourselves
7,Al-Anbiya,21:83,Patience,أَنِّي مَسَّنِيَ الضُّرُّ وَأَنتَ أَرْحَمُ الرَّاحِمِينَ,Anni massaniya ad-durru wa anta arhamur rahimeen,"Indeed, adversity has touched me, and You are the Most Merciful of the merciful.",adversity has touched me
8,Yunus,10:85,Trust,عَلَى اللَّهِ تَوَكَّلْنَا,Ala Allahi tawakkalna,Upon Allah we rely.,upon Allah we rely
9,Al-Baqarah,2:201,Balance,رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً,Rabbana atina fid-dunya hasanatan wa fil-akhirati hasanatan,"Our Lord, give us good in this world and good in the Hereafter.",good in this world and the next
10,Ibrahim,14:40,Prayer,رَبِّ اجْعَلْنِي مُقِيمَ الصَّلَاةِ,Rabbi jalni muqeemas-salati,"My Lord, make me an establisher of prayer.",make me an establisher of prayer
11,Al-Baqarah,2:127,Acceptance,رَبَّنَا تَقَبَّلْ مِنَّا,Rabbana taqabbal minna,"Our Lord, accept this from us.",accept this from us
12,Al-Baqarah,2:128,Submission,رَبَّنَا وَاجْعَلْنَا مُسْلِمَيْنِ لَكَ,Rabbana wajalna muslimayni laka,"Our Lord, make us devoted to You.",make us devoted to you
13,Ali-Imran,3:16,Forgiveness,رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا,Rabbana faghfir lana dhunoobana,"Our Lord, forgive our sins.",forgive our sins
14,Ali-Imran,3:26,Power,اللَّهُمَّ مَالِكَ الْمُلْكِ,Allahumma malikal mulk,"O Allah, Owner of Sovereignty.",O Allah Owner of Sovereignty
15,Ali-Imran,3:191,Reflection,رَبَّنَا مَا خَلَقْتَ هَذَا بَاطِلًا,Rabbana ma khalaqta hadha batila,"Our Lord, You did not create this aimlessly.",you did not create this aimlessly
16,Al-Muminun,23:118,Mercy,رَبِّ اغْفِرْ وَارْحَمْ,Rabbighfir warham,"My Lord, forgive and have mercy.",forgive and have mercy
17,Taha,20:25,Ease,رَبِّ اشْرَحْ لِي صَدْرِي,Rabbi ishrah li sadri,"My Lord, expand for me my chest.",expand for me my chest
18,Taha,20:26,Facilitation,وَيَسِّرْ لِي أَمْرِي,Wa yassir li amri,And ease for me my task.,ease for me my task
19,Taha,20:27,Communication,وَاحْلُلْ عُقْدَةً مِن لِّسَانِي,Wahlul uqdatan min lisani,And untie the knot from my tongue.,untie the knot from my tongue
20,Taha,20:28,Understanding,يَفْقَهُوا قَوْلِي,Yafqahoo qawli,So they may understand my speech.,so they may understand my speech
21,Al-Qasas,28:24,Need,رَبِّ إِنِّي لِمَا أَنزَلْتَ إِلَيَّ مِنْ خَيْرٍ فَقِيرٌ,Rabbi inni lima anzalta ilayya min khayrin faqeer,"My Lord, I am in need of whatever good You send down to me.",I am in need of your good
22,Al-Anbiya,21:87,Forgiveness,لَا إِلَهَ إِلَّا أَنتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ الظَّالِمِينَ,La ilaha illa anta subhanaka inni kuntu minaz-zalimeen,"There is no deity except You; exalted are You. Indeed, I have been among the wrongdoers.",exalted are you I was among the wrongdoers
23,Al-Anbiya,21:89,Family,رَبِّ لَا تَذَرْنِي فَرْدًا,Rabbi la tadharni fardan,"My Lord, do not leave me alone.",do not leave me alone
24,Yusuf,12:101,Faith,تَوَفَّنِي مُسْلِمًا,Tawaffani musliman,Cause me to die as a Muslim.,cause me to die as a Muslim
25,Al-Fatihah,1:6,Guidance,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Ihdinas-siratal mustaqeem,Guide us to the Straight Path.,guide us to the straight path
